,Quantidade,Tipo de ingresso,Status do participante,Como você se define,"Se outro, qual?",Como você se identifica?,"Se outro, qual?.1","Faz parte da população T (pessoa transgênera, travesti)?",Orientação sexual:,"Se outro, qual?.2",Pessoa com necessidades específicas?,"Se sim, qual?",Em qual UF você reside?,Em qual país você reside?,De quais edições da Python Brasil você já participou?,Você já participou de algum outro evento Python?,Você participou de outros eventos online durante a pandemia de covid-19?,Há quanto tempo você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você é estudante?,Você trabalha com Python?,"Você pretende submeter alguma atividades (palestra, tutorial) para a Python Brasil?","Você faz parte de alguma comunidade local? (grupy, PUG, PyLadies, AfroPython)","Se sim, qual?.1","A Python Brasil possui um Código de Conduta (https://python.org.br/cdc) para assegurar que todas as pessoas se sintam confortáveis e seguras em seus ambientes. Para participar do evento, é necessário que você esteja ciente e respeite essas orientações."
1078,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RN,,Python Brasil [14] - 2018 - Natal - RN | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) | Sim, eventos internacionais",Sim,Há mais de cinco anos,Avançado,Não,Sim,Com certeza!,Sim,Grupy RN,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1079,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Bisexual,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1080,1.0,Lote Único,Participando,Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1081,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de cinco anos,Iniciante,Não,Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1082,1.0,Lote Único,Participando,Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1083,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,PA,,É a minha primeira vez no evento!,"Sim, eventos locais",Não,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1084,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Pansexual,,Não,,PB,,Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de dez anos,Avançado,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Sim,PUG/PB,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1085,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SC,,É a minha primeira vez no evento!,"Sim, eventos locais",Não,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Sim,Python Floripa Meetup,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1086,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Não,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1087,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RS,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1088,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RS,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1089,1.0,Lote Único,Participando,Uma pessoa negra,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Avançado,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1090,1.0,Lote Único,Participando,Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1091,1.0,Lote Único,Participando,Uma pessoa negra,,Homem,,Não,Gay,,Não,,GO,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1092,1.0,Lote Único,Participando,Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1093,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Hétero,,Não,,GO,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
